IDENTIFICADOR;VALOR1;VALOR2;VALOR3;VALOR4;VALOR5
1040741930;DICIEMBRE.wav;TELEVISION.wav;3485;NOVIEMBRE.wav;
1041203468;DICIEMBRE.wav;TELEFONIA.wav;61982;NOVIEMBRE.wav;
1075249670;DICIEMBRE.wav;TRIO.wav;14587;NOVIEMBRE.wav;
1037585934;DICIEMBRE.wav;TRIO.wav;37742;NOVIEMBRE.wav;
1235249138;DICIEMBRE.wav;TRIO.wav;279;NOVIEMBRE.wav;
15372270;DICIEMBRE.wav;VOZ PLUS.wav;6219;NOVIEMBRE.wav;
15436341;DICIEMBRE.wav;INTERNET.wav;4960;NOVIEMBRE.wav;
15516787;DICIEMBRE.wav;TELEVISION.wav;10380;NOVIEMBRE.wav;
19459587;DICIEMBRE.wav;VOZ PLUS.wav;2975;NOVIEMBRE.wav;
21576036;DICIEMBRE.wav;TELEVISION.wav;45054;NOVIEMBRE.wav;
1037601634;DICIEMBRE.wav;DUO_TO_BA.wav;46452;NOVIEMBRE.wav;
1037611835;DICIEMBRE.wav;DUO_TV_BA.wav;24397;NOVIEMBRE.wav;
1152188917;DICIEMBRE.wav;TELEFONIA.wav;13066;NOVIEMBRE.wav;
1102797492;DICIEMBRE.wav;TRIO.wav;4577;NOVIEMBRE.wav;
1122647790;DICIEMBRE.wav;DUO_TO_BA.wav;8516;NOVIEMBRE.wav;
1127920904;DICIEMBRE.wav;DUO_TV_BA.wav;2231;NOVIEMBRE.wav;
1128476286;DICIEMBRE.wav;DUO_TV_BA.wav;23278;NOVIEMBRE.wav;
1152187391;DICIEMBRE.wav;TELEVISION.wav;4719;NOVIEMBRE.wav;
1152687120;DICIEMBRE.wav;INTERNET.wav;20323;NOVIEMBRE.wav;
1192769836;DICIEMBRE.wav;DUO_TV_BA.wav;19839;NOVIEMBRE.wav;
42800638;DICIEMBRE.wav;TELEVISION.wav;17802;NOVIEMBRE.wav;
37236789;DICIEMBRE.wav;TRIO.wav;2929;NOVIEMBRE.wav;
37937794;DICIEMBRE.wav;TELEVISION.wav;14720;NOVIEMBRE.wav;
39162366;DICIEMBRE.wav;TELEFONIA.wav;10321;NOVIEMBRE.wav;
40021883;DICIEMBRE.wav;TRIO.wav;1255;NOVIEMBRE.wav;
41915071;DICIEMBRE.wav;TELEVISION.wav;16129;NOVIEMBRE.wav;
42063861;DICIEMBRE.wav;TELEFONIA.wav;29097;NOVIEMBRE.wav;
42895206;DICIEMBRE.wav;INTERNET.wav;24397;NOVIEMBRE.wav;
1098702781;DICIEMBRE.wav;TRIO.wav;558;NOVIEMBRE.wav;
44007207;DICIEMBRE.wav;DUO_TO_BA.wav;15484;NOVIEMBRE.wav;
43627190;DICIEMBRE.wav;EQUIPOS.wav;3402;NOVIEMBRE.wav;
43753503;DICIEMBRE.wav;DUO_TV_BA.wav;28557;NOVIEMBRE.wav;
43760244;DICIEMBRE.wav;TELEFONIA.wav;3486;NOVIEMBRE.wav;
43808951;DICIEMBRE.wav;INTERNET.wav;94347;NOVIEMBRE.wav;
43874377;DICIEMBRE.wav;TELEFONIA PBX.wav;51031;NOVIEMBRE.wav;
52769878;DICIEMBRE.wav;INTERNET.wav;24399;NOVIEMBRE.wav;
52875797;DICIEMBRE.wav;TELEVISION.wav;3904;NOVIEMBRE.wav;
